,Inflation_Rank,Title,Adj. Domestic Lifetime Gross,Domestic Lifetime Gross,Est. Num Tickets,Year,Worldwide_Rank,Worldwide Lifetime Gross, Domestic % ,Foreign Lifetime Gross, Foreign % 
172,164,Armageddon,"$402,726,348 ","$201,578,182 ","42,980,400",1998,187,"$553,709,788",0.36,"$352,131,606",0.64
173,165,Psycho,"$399,786,979 ","$32,000,000 ","42,666,700",1960,0,$nan,,$nan,
174,166,Harry Potter And The Order Of The Phoenix,"$399,669,854 ","$292,382,727 ","42,654,200",2007,58,"$942,172,396",0.31,"$649,818,983",0.69
175,167,Inside Out,"$398,811,562 ","$356,921,711 ","42,562,600",2015,78,"$858,848,019",0.42,"$501,926,308",0.58
176,168,Rocky Iii,"$398,348,684 ","$125,049,125 ","42,513,200",1982,0,$nan,,$nan,
177,169,Rambo First Blood Part Ii,"$397,011,585 ","$150,415,432 ","42,370,500",1985,514,"$300,400,432",0.5,"$149,985,000",0.5
178,170,Batman Forever,"$396,446,574 ","$184,069,126 ","42,310,200",1995,432,"$336,567,158",0.55,"$152,498,032",0.45
179,171,Deadpool,"$396,285,410 ","$363,070,709 ","42,293,000",2016,101,"$782,836,791",0.46,"$419,766,082",0.54
180,172,Pretty Woman,"$395,192,868 ","$178,406,268 ","42,176,400",1990,254,"$463,406,268",0.38,"$285,000,000",0.62
181,173,Earthquake,"$394,961,429 ","$79,666,653 ","42,151,700",1974,0,$nan,,$nan,
182,174,Alice In Wonderland,"$394,495,740 ","$334,191,110 ","42,102,000",2010,45,"$1,025,468,216",0.33,"$691,277,106",0.67
183,175,The Incredibles,"$393,821,100 ","$261,441,092 ","42,030,000",2004,151,"$631,607,053",0.41,"$370,165,961",0.59
184,176,Cast Away,"$392,548,654 ","$233,632,142 ","41,894,200",2000,287,"$429,632,142",0.54,"$196,000,000",0.46
185,177,Home Alone 2 Lost In New York,"$392,130,752 ","$173,585,516 ","41,849,600",1992,388,"$358,994,850",0.48,"$185,409,334",0.52
186,179,Three Men And A Baby,"$390,764,606 ","$167,780,960 ","41,703,800",1987,0,$nan,,$nan,
187,180,My Big Fat Greek Wedding,"$388,100,715 ","$241,438,208 ","41,419,500",2002,370,"$368,744,044",0.65,"$127,305,836",0.35
188,181,Guardians Of The Galaxy,"$386,375,698 ","$333,718,600 ","41,235,400",2014,104,"$773,350,147",0.43,"$439,631,547",0.57
189,182,Furious 7,"$384,393,006 ","$353,007,020 ","41,023,800",2015,10,"$1,515,341,399",0.23,"$1,162,334,379",0.77
190,183,Mission Impossible,"$383,664,957 ","$180,981,856 ","40,946,100",1996,260,"$457,696,391",0.4,"$276,714,535",0.6
191,184,The Hunger Games Mockingjay  Part 1,"$381,611,053 ","$337,135,885 ","40,726,900",2014,0,$nan,,$nan,
192,185,Minions,"$381,492,054 ","$336,045,770 ","40,714,200",2015,22,"$1,159,444,662",0.29,"$823,398,892",0.71
193,186,Harry Potter And The HalfBlood Prince,"$381,195,025 ","$302,334,374 ","40,682,500",2009,0,$nan,,$nan,
194,187,Saturday Night Fever,"$380,466,039 ","$94,213,184 ","40,604,700",1977,683,"$237,113,184",0.4,"$142,900,000",0.6
195,188,On Golden Pond,"$380,274,891 ","$119,285,432 ","40,584,300",1981,0,$nan,,$nan,
196,189,Austin Powers The Spy Who Shagged Me,"$380,038,767 ","$206,040,086 ","40,559,100",1999,484,"$312,016,928",0.66,"$105,976,842",0.34
197,190,Harry Potter And The Prisoner Of Azkaban,"$378,596,724 ","$250,105,651 ","40,405,200",2004,92,"$797,361,618",0.31,"$547,385,622",0.69
198,191,Bruce Almighty,"$377,331,774 ","$242,829,261 ","40,270,200",2003,233,"$484,592,874",0.5,"$241,763,613",0.5
199,192,Funny Girl,"$375,170,115 ","$52,223,306 ","40,039,500",1968,0,$nan,,$nan,
200,193,Mission Impossible Ii,"$374,469,239 ","$215,409,889 ","39,964,700",2000,191,"$546,388,108",0.39,"$330,978,219",0.61
201,194,Rush Hour 2,"$374,410,208 ","$226,164,286 ","39,958,400",2001,419,"$347,325,802",0.65,"$121,161,516",0.35
202,195,Apollo 13,"$373,466,649 ","$173,837,933 ","39,857,700",1995,396,"$355,237,933",0.49,"$181,400,000",0.51
203,196,Patton,"$373,287,682 ","$61,749,765 ","39,838,600",1970,0,$nan,,$nan,
204,197,Fatal Attraction,"$371,808,159 ","$156,645,693 ","39,680,700",1987,471,"$320,145,693",0.49,"$163,500,000",0.51
205,198,Iron Man 2,"$371,691,971 ","$312,433,331 ","39,668,300",2010,156,"$623,933,331",0.5,"$311,500,000",0.5
206,199,Zootopia,"$371,109,157 ","$341,268,248 ","39,606,100",2016,46,"$1,024,121,104",0.33,"$682,852,856",0.67
207,200,Liar Liar,"$370,330,510 ","$181,410,615 ","39,523,000",1997,507,"$302,710,615",0.6,"$121,300,000",0.4
