Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Minions,2015,185,"$381,492,054 ","40,714,200",22,"$1,159,444,662","$336,045,770 ",29.0,"$823,398,892",71.0,$nan
Harry Potter And The HalfBlood Prince,2009,186,"$381,195,025 ","40,682,500",,,"$302,334,374 ",,,,$nan
Saturday Night Fever,1977,187,"$380,466,039 ","40,604,700",683,"$237,113,184","$94,213,184 ",40.0,"$142,900,000",60.0,$nan
On Golden Pond,1981,188,"$380,274,891 ","40,584,300",,,"$119,285,432 ",,,,$nan
Austin Powers The Spy Who Shagged Me,1999,189,"$380,038,767 ","40,559,100",484,"$312,016,928","$206,040,086 ",66.0,"$105,976,842",34.0,$nan
Harry Potter And The Prisoner Of Azkaban,2004,190,"$378,596,724 ","40,405,200",92,"$797,361,618","$250,105,651 ",31.0,"$547,385,622",69.0,$nan
Bruce Almighty,2003,191,"$377,331,774 ","40,270,200",233,"$484,592,874","$242,829,261 ",50.0,"$241,763,613",50.0,"$81,000,000"
Funny Girl,1968,192,"$375,170,115 ","40,039,500",,,"$52,223,306 ",,,,$nan
Mission Impossible Ii,2000,193,"$374,469,239 ","39,964,700",191,"$546,388,108","$215,409,889 ",39.0,"$330,978,219",61.0,$nan
Rush Hour 2,2001,194,"$374,410,208 ","39,958,400",419,"$347,325,802","$226,164,286 ",65.0,"$121,161,516",35.0,"$90,000,000"
Apollo 13,1995,195,"$373,466,649 ","39,857,700",396,"$355,237,933","$173,837,933 ",49.0,"$181,400,000",51.0,"$65,000,000"
Patton,1970,196,"$373,287,682 ","39,838,600",,,"$61,749,765 ",,,,"$12,000,000"
Fatal Attraction,1987,197,"$371,808,159 ","39,680,700",471,"$320,145,693","$156,645,693 ",49.0,"$163,500,000",51.0,"$14,000,000"
